,Frequency,Chord length,Free-stream velocity,New component
0,0.0707070707070707,0.2727272727272727,0.0,0.3018017065920737
1,0.0101010101010101,0.0,0.1994949494949496,0.7837837221845736
2,0.0303030303030303,0.7272727272727271,0.601010101010101,0.32882908299754715
3,0.6212121212121212,0.0909090909090909,0.0,3.1029102731672253e-08
4,0.1919191919191919,0.0909090909090909,0.0,0.3783781440673427
5,0.30808080808080807,0.45454545454545453,0.1994949494949496,1.1553948620068866e-07
6,0.015151515151515152,0.7272727272727271,1.0,0.09009012797591873
7,0.0707070707070707,0.0909090909090909,0.0,0.6936946721177057
8,0.05303030303030304,0.7272727272727271,0.601010101010101,1.4272337578447036e-07
9,0.24242424242424243,0.2727272727272727,1.0,0.5540556309238767
10,0.1919191919191919,0.45454545454545453,0.1994949494949496,0.4459469185144427
11,0.11616161616161617,0.7272727272727271,0.0,0.32882924109830686
12,0.0303030303030303,0.0909090909090909,1.0,0.5045046793683566
13,0.0303030303030303,0.2727272727272727,1.0,0.3018016201449069
14,0.005808080808080807,0.7272727272727271,0.1994949494949496,0.32882917179066196
15,0.30808080808080807,0.9999999999999999,0.1994949494949496,2.0365468161864797e-07
16,0.09090909090909091,0.2727272727272727,0.601010101010101,0.3018016526473344
17,0.14898989898989898,0.7272727272727271,0.0,0.1801802281067691
18,0.0707070707070707,0.45454545454545453,1.0,0.12162156891764217
19,0.1919191919191919,0.2727272727272727,1.0,0.5540556309238767
20,0.0,0.45454545454545453,0.601010101010101,0.4459467308235188
21,0.1919191919191919,0.0,0.1994949494949496,2.0949896262223433e-09
22,0.14898989898989898,0.9999999999999999,0.0,2.1958691881485137e-07
23,0.0707070707070707,0.0,0.1994949494949496,2.0949896262223433e-09
24,0.015151515151515152,0.45454545454545453,0.601010101010101,9.999107658531514e-08
25,0.021717171717171715,0.9999999999999999,1.0,0.13513519665019397
26,0.1919191919191919,0.9999999999999999,0.601010101010101,0.13513521683318944
27,0.05303030303030304,0.45454545454545453,0.1994949494949496,0.5675709789685457
28,0.0303030303030303,0.45454545454545453,1.0,0.2432431028196535
29,0.14898989898989898,0.7272727272727271,1.0,0.23873869510687512
30,0.24242424242424243,0.9999999999999999,0.601010101010101,0.13513521683318944
31,0.021717171717171715,0.2727272727272727,1.0,0.7027047774014408
32,0.1919191919191919,0.0,0.1994949494949496,0.21621588754747909
33,0.0,0.0909090909090909,1.0,0.6936944791934553
34,0.11616161616161617,0.0909090909090909,0.601010101010101,0.3783781169792215
35,0.0101010101010101,0.7272727272727271,0.601010101010101,0.32882908299754715
36,0.005808080808080807,0.9999999999999999,0.1994949494949496,2.0365468161864797e-07
37,0.0404040404040404,0.0,1.0,0.5720719896724182
38,0.021717171717171715,0.7272727272727271,0.1994949494949496,0.32882917179066196
39,0.0404040404040404,0.7272727272727271,0.1994949494949496,0.2387387666760109
40,0.0303030303030303,0.0909090909090909,0.1994949494949496,0.3783781330977169
41,0.30808080808080807,0.7272727272727271,0.0,0.09009018780475717
42,0.015151515151515152,0.2727272727272727,0.601010101010101,0.3018016526473344
43,0.0707070707070707,0.9999999999999999,1.0,1.706251510635859e-07
44,0.11616161616161617,0.2727272727272727,1.0,6.108347949673743e-08
